peerURI,serverName,host,machine,"search_group","_mkv_child","_timediff","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group","__mv__mkv_child","__mv__timediff"
localhost,splunk,splunk,splunk,"dmc_group_indexer",0,,,,,,,,
localhost,splunk,splunk,splunk,"dmc_group_kv_store",1,,,,,,,,
localhost,splunk,splunk,splunk,"dmc_group_license_master",2,,,,,,,,
localhost,splunk,splunk,splunk,"dmc_group_search_head",3,,,,,,,,
