2020-08-16 18:00:46,351 INFO pid=18873 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-16 18:00:46,351 INFO pid=18873 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-16 18:00:46,378 INFO pid=18873 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-16 18:00:46,381 INFO pid=18873 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-16 18:00:46,381 INFO pid=18873 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-08-16 18:01:38,637 INFO pid=19515 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-16 18:01:38,638 INFO pid=19515 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-16 18:01:38,677 INFO pid=19515 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-16 18:01:38,713 INFO pid=19515 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-16 18:01:38,713 INFO pid=19515 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-08-16 18:09:23,297 INFO pid=28078 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-16 18:09:23,297 INFO pid=28078 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-16 18:09:23,314 INFO pid=28078 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-16 18:09:23,328 INFO pid=28078 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-16 18:09:23,328 INFO pid=28078 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-08-16 18:11:26,887 INFO pid=30323 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-16 18:11:26,887 INFO pid=30323 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-16 18:11:26,889 INFO pid=30323 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-16 18:11:26,911 INFO pid=30323 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-16 18:11:26,911 INFO pid=30323 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-08-20 22:41:35,364 INFO pid=17564 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-20 22:41:35,378 INFO pid=17564 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-20 22:41:35,389 INFO pid=17564 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-20 22:41:35,408 INFO pid=17564 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-20 22:41:35,408 INFO pid=17564 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-08-27 21:11:31,957 INFO pid=3225 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-08-27 21:11:31,959 INFO pid=3225 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-08-27 21:11:31,974 INFO pid=3225 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-08-27 21:11:32,002 INFO pid=3225 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-08-27 21:11:32,002 INFO pid=3225 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-09-01 06:56:19,074 INFO pid=3250 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-09-01 06:56:19,081 INFO pid=3250 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-09-01 06:56:19,106 INFO pid=3250 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-09-01 06:56:19,126 INFO pid=3250 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-09-01 06:56:19,126 INFO pid=3250 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-09-01 07:16:46,474 INFO pid=3261 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-09-01 07:16:46,478 INFO pid=3261 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-09-01 07:16:46,483 INFO pid=3261 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-09-01 07:16:46,495 INFO pid=3261 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-09-01 07:16:46,495 INFO pid=3261 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-09-09 13:13:47,436 INFO pid=3286 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-09-09 13:13:47,447 INFO pid=3286 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-09-09 13:13:47,483 INFO pid=3286 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-09-09 13:13:47,485 INFO pid=3286 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-09-09 13:13:47,485 INFO pid=3286 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-09-11 20:44:18,435 INFO pid=11743 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-09-11 20:44:18,443 INFO pid=11743 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-09-11 20:44:18,449 INFO pid=11743 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-09-11 20:44:18,464 INFO pid=11743 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-09-11 20:44:18,464 INFO pid=11743 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-09-22 20:34:08,283 INFO pid=3249 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-09-22 20:34:08,285 INFO pid=3249 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-09-22 20:34:08,294 INFO pid=3249 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-09-22 20:34:08,322 INFO pid=3249 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-09-22 20:34:08,322 INFO pid=3249 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-10-02 07:24:39,528 INFO pid=3192 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-10-02 07:24:39,544 INFO pid=3192 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-10-02 07:24:39,547 INFO pid=3192 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-10-02 07:24:39,568 INFO pid=3192 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-10-02 07:24:39,568 INFO pid=3192 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-10-19 10:07:56,892 INFO pid=3283 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-10-19 10:07:56,906 INFO pid=3283 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-10-19 10:07:56,910 INFO pid=3283 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-10-19 10:07:56,925 INFO pid=3283 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-10-19 10:07:56,926 INFO pid=3283 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-10-23 10:17:03,563 INFO pid=3291 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-10-23 10:17:03,568 INFO pid=3291 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-10-23 10:17:03,576 INFO pid=3291 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-10-23 10:17:03,603 INFO pid=3291 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-10-23 10:17:03,603 INFO pid=3291 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-10-23 12:31:07,629 INFO pid=5160 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-10-23 12:31:07,646 INFO pid=5160 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-10-23 12:31:07,652 INFO pid=5160 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-10-23 12:31:07,664 INFO pid=5160 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-10-23 12:31:07,679 INFO pid=5160 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-11-02 10:49:25,904 INFO pid=3302 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-11-02 10:49:25,905 INFO pid=3302 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-11-02 10:49:25,923 INFO pid=3302 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-11-02 10:49:25,947 INFO pid=3302 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-11-02 10:49:25,947 INFO pid=3302 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-11-20 11:52:24,971 INFO pid=13893 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-11-20 11:52:24,982 INFO pid=13893 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-11-20 11:52:24,999 INFO pid=13893 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2020-11-20 11:52:25,007 INFO pid=13893 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2020-11-20 11:52:25,007 INFO pid=13893 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2020-11-25 19:55:04,491 INFO pid=10259 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2020-11-25 19:55:04,508 INFO pid=10259 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2020-11-25 19:55:04,515 INFO pid=10259 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
